,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
484,Mayo,US,38.89,-76.51,82.99,78,1,10.29,clear sky
485,The Valley,AI,18.22,-63.06,84.2,74,20,16.11,few clouds
486,Druskininkai,LT,54.02,23.97,67.91,91,97,4.09,moderate rain
487,Oktyabrskoye,RU,43.06,44.74,57.2,93,96,2.24,overcast clouds
488,San Carlos,VE,9.66,-68.58,75.69,93,95,1.99,moderate rain
489,Tchollire,CM,8.4,14.17,72.23,97,100,2.13,moderate rain
490,Antalaha,MG,-14.9,50.28,66.18,83,30,7.65,scattered clouds
491,Pilikwe,BW,-22.8,27.19,50.4,78,0,4.61,clear sky
492,Yerbogachen,RU,61.28,108.01,47.7,68,27,5.79,scattered clouds
493,Mayumba,GA,-3.43,10.66,72.97,87,28,4.05,scattered clouds
494,Praia,CV,14.92,-23.51,80.6,78,20,6.93,few clouds
495,Inhambane,MZ,-23.86,35.38,62.83,78,1,4.03,clear sky
496,Moerai,PF,-22.43,-151.33,70.88,71,15,19.1,few clouds
497,Hokitika,NZ,-42.72,170.97,53.78,70,89,6.08,overcast clouds
498,Plymouth,US,41.83,-70.83,72.0,94,90,5.82,light rain
499,Cuamba,MZ,-14.8,36.54,62.37,80,36,7.31,scattered clouds
500,Yaan,NG,7.38,8.57,73.92,94,100,6.53,moderate rain
501,Ourinhos,BR,-22.98,-49.87,54.64,76,55,9.46,broken clouds
502,Mantua,IT,45.17,10.78,79.0,72,0,3.0,clear sky
503,Xingtai,CN,37.06,114.49,68.16,92,46,2.15,scattered clouds
504,Aswan,EG,24.09,32.91,84.16,28,0,10.16,clear sky
505,Nakhon Thai,TH,17.1,100.84,75.45,86,100,1.14,overcast clouds
506,Marsa Matruh,EG,31.35,27.25,78.8,78,40,9.17,scattered clouds
507,Keti Bandar,PK,24.14,67.45,84.78,86,100,15.28,overcast clouds
508,Candelaria,PH,13.93,121.42,77.0,91,100,3.29,overcast clouds
509,Nizwa,OM,22.93,57.53,84.88,54,97,3.94,overcast clouds
510,Delijan,IR,33.99,50.68,74.7,18,0,3.58,clear sky
511,Parana,AR,-31.73,-60.52,63.0,21,0,1.01,clear sky
512,Crevalcore,IT,44.72,11.15,81.0,61,0,6.93,clear sky
513,Beloha,MG,-25.17,45.05,62.15,82,3,11.97,clear sky
514,Yining,CN,29.04,114.56,74.28,89,15,1.48,light rain
515,Nadadores,MX,27.05,-101.6,98.01,29,1,3.0,clear sky
516,Egvekinot,RU,66.32,-179.17,47.97,95,100,9.17,light rain
517,Chegutu,ZW,-18.13,30.14,56.64,67,50,8.05,scattered clouds
518,Noumea,NC,-22.28,166.46,72.0,100,75,5.91,mist
519,Port Augusta,AU,-32.5,137.77,42.01,93,50,6.93,scattered clouds
520,Tuatapere,NZ,-46.13,167.68,46.0,98,100,3.0,overcast clouds
521,Vung Tau,VN,10.35,107.08,81.28,83,100,12.3,overcast clouds
522,Vagay,RU,57.94,69.02,48.02,96,46,4.68,scattered clouds
523,Port-Gentil,GA,-0.72,8.78,77.0,78,90,13.67,overcast clouds
524,Meadow Lake,US,34.8,-106.54,99.0,12,20,3.71,few clouds
525,Ierapetra,GR,35.01,25.74,81.0,49,0,20.0,clear sky
526,Mehamn,NO,71.04,27.85,59.31,77,51,15.1,broken clouds
527,Fare,PF,-16.7,-151.02,77.13,77,11,19.89,few clouds
528,Mbini,GQ,1.57,9.61,77.0,94,40,5.82,scattered clouds
529,Mbaiki,CF,3.87,17.99,69.73,95,100,1.79,overcast clouds
530,Araouane,ML,18.9,-3.53,101.95,20,98,15.3,overcast clouds
531,Sayyan,YE,15.17,44.32,66.72,60,66,1.97,broken clouds
532,Vao,NC,-22.67,167.48,71.58,80,61,12.73,broken clouds
533,Avera,US,33.19,-82.53,80.6,88,90,5.82,overcast clouds
534,Porangatu,BR,-13.44,-49.15,85.44,36,75,5.99,broken clouds
535,Yeppoon,AU,-23.13,150.73,57.2,30,0,8.05,clear sky
536,Hervey Bay,AU,-25.3,152.85,51.8,50,0,1.12,clear sky
537,Les Cayes,HT,18.2,-73.75,87.06,69,63,5.19,broken clouds
538,Nouadhibou,MR,20.93,-17.03,73.4,83,0,17.22,clear sky
539,Guaraniacu,BR,-25.1,-52.88,46.06,93,0,1.39,clear sky
540,La Plata,AR,-34.92,-57.95,60.8,48,0,9.51,clear sky
541,Varnamo,SE,57.19,14.04,60.01,91,6,8.7,clear sky
542,Malakal,SS,9.53,31.66,73.98,85,14,2.37,few clouds
543,Umm Kaddadah,SD,13.6,26.69,84.58,56,13,18.12,light rain
544,Farah,AF,32.5,62.5,72.25,16,0,2.98,clear sky
545,Ossora,RU,59.24,163.07,54.84,67,92,4.76,overcast clouds
546,Soyo,AO,-6.13,12.37,73.69,87,4,5.5,clear sky
547,Adre,TD,13.47,22.2,69.78,84,100,10.69,light rain
548,Sabha,LY,27.04,14.43,81.45,23,0,9.82,clear sky
549,Ponta Do Sol,PT,32.67,-17.1,75.2,69,40,14.99,scattered clouds
550,Ahipara,NZ,-35.17,173.17,60.03,84,41,9.46,scattered clouds
551,Pavlovsk,RU,50.46,40.11,57.88,63,1,3.27,clear sky
552,Iquique,CL,-20.22,-70.14,60.8,72,75,11.41,broken clouds
553,Rioja,AR,-29.41,-66.85,55.96,34,0,2.15,clear sky
554,Umarkot,PK,25.36,69.74,88.09,68,23,13.22,few clouds
555,Shimoda,JP,34.67,138.95,72.0,91,100,6.33,light rain
556,Karangampel,ID,-6.46,108.45,78.39,76,18,6.93,few clouds
557,Caconda,AO,-13.73,15.07,62.92,31,84,4.7,broken clouds
558,Luanda,AO,-8.84,13.23,71.6,88,75,4.7,broken clouds
559,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,56.28,39,0,5.84,clear sky
560,Naze,JP,28.37,129.48,84.2,89,40,6.93,scattered clouds
561,Gat,IL,31.61,34.76,78.01,34,0,0.76,clear sky
562,Kijang,KR,35.24,129.21,77.0,78,75,3.36,broken clouds
563,Ouagadougou,BF,12.36,-1.54,77.0,94,11,2.42,few clouds
564,Ponta Pora,BR,-22.54,-55.73,62.6,55,0,6.93,clear sky
565,Mugan,CN,35.94,101.38,57.02,80,100,3.24,light rain
566,Hirara,JP,24.8,125.28,82.4,84,100,40.94,heavy intensity rain
567,Healdsburg,US,38.61,-122.87,96.01,33,1,9.17,haze
568,Dakar,SN,14.69,-17.44,82.4,78,20,9.17,few clouds
569,Kysucke Nove Mesto,SK,49.3,18.78,71.6,78,40,3.36,scattered clouds
570,Marsh Harbour,BS,26.54,-77.06,84.67,75,27,14.56,light rain
571,Arrecife,ES,28.96,-13.55,75.2,83,20,25.28,few clouds
572,Tallahassee,US,30.44,-84.28,75.2,88,75,6.93,light rain
573,Caravelas,BR,-17.71,-39.25,71.13,77,100,11.65,overcast clouds
574,Gua Musang,MY,4.88,101.96,72.93,90,48,0.92,scattered clouds
575,Lethem,GY,3.38,-59.8,81.07,64,94,2.24,overcast clouds
576,Paamiut,GL,61.99,-49.67,43.63,92,44,9.35,scattered clouds
577,Palmer,US,42.16,-72.33,87.8,40,20,12.75,few clouds
578,Darhan,MN,49.49,105.92,56.37,84,64,1.45,broken clouds
579,Japura,ID,-0.32,102.35,74.12,95,100,2.1,light rain
580,Mporokoso,ZM,-9.37,30.12,62.78,58,33,10.94,scattered clouds
581,Sokolo,ML,14.73,-6.12,78.35,78,100,12.62,overcast clouds
582,Kaisiadorys,LT,54.87,24.45,68.0,94,100,3.36,light rain
583,Songea,TZ,-10.68,35.65,60.8,82,40,5.82,scattered clouds
584,Ushibuka,JP,32.19,130.02,81.03,81,84,2.44,light rain
585,Virginia Beach,US,36.85,-75.98,84.99,78,75,4.7,broken clouds
586,Connersville,US,39.64,-85.14,84.0,55,20,1.99,light rain
587,Severnyy,RU,50.68,36.55,60.8,59,0,4.47,clear sky
588,El Reno,US,35.53,-97.95,93.2,34,1,4.7,clear sky
589,Provost,CA,52.35,-110.27,66.34,56,30,18.16,scattered clouds
590,Kota Kinabalu,MY,5.97,116.07,75.2,94,20,3.36,few clouds
591,Agadez,NE,19.75,10.25,93.85,32,74,10.78,broken clouds
592,Mikuni,JP,36.22,136.15,73.4,88,75,4.7,broken clouds
593,Saint-Augustin,CA,51.23,-58.65,63.3,69,98,3.8,overcast clouds
594,Sidi Ali,DZ,36.1,0.42,72.43,60,43,2.01,scattered clouds
595,Shakawe,BW,-18.37,21.85,63.97,51,7,7.2,clear sky
596,Olafsvik,IS,64.89,-23.71,50.58,66,22,7.14,few clouds
597,Ikom,NG,5.97,8.71,73.71,96,100,1.3,light rain
598,Great Falls,US,47.5,-111.3,87.8,22,1,16.11,clear sky
599,Richards Bay,ZA,-28.78,32.04,65.08,68,0,12.68,clear sky
600,Rexburg,US,43.83,-111.79,86.0,23,75,8.05,haze
601,Awjilah,LY,29.11,21.29,82.6,37,0,16.53,clear sky
602,Assiniboia,CA,49.63,-105.98,91.18,21,59,15.66,broken clouds
603,Alyangula,AU,-13.85,136.42,57.2,93,0,18.63,clear sky
604,Puerto Quijarro,BO,-17.78,-57.77,63.5,39,63,3.87,broken clouds
605,Grimstad,NO,58.34,8.59,59.0,100,5,9.17,light rain
606,Agadir,MA,30.42,-9.6,78.8,61,40,4.7,scattered clouds
607,Jieshi,CN,22.81,115.83,81.54,81,90,2.93,overcast clouds
608,Bonga,ET,7.28,36.23,61.74,90,100,0.49,light rain
609,Salmas,IR,38.2,44.77,66.2,59,75,4.7,broken clouds
610,Hualmay,PE,-11.1,-77.61,63.99,73,14,9.48,few clouds
611,Clonakilty,IE,51.62,-8.87,59.0,87,75,10.29,broken clouds
612,Heihe,CN,50.24,127.49,55.4,100,40,2.24,mist
613,Arrifes,PT,37.77,-25.7,73.4,83,20,4.7,few clouds
614,Ust-Kuyga,RU,70.02,135.6,40.03,92,100,0.96,light rain
615,Pyapon,MM,16.28,95.68,77.52,91,100,5.7,light rain
616,Bilibino,RU,68.05,166.44,41.4,88,100,3.38,light rain
617,Padre Bernardo,BR,-15.35,-48.5,74.73,54,61,6.22,broken clouds
618,Vincennes,FR,48.85,2.43,71.6,53,100,11.41,overcast clouds
619,Sovetskiy,RU,61.36,63.58,49.59,92,24,7.07,few clouds
620,Olhao,PT,37.03,-7.84,75.2,60,0,10.29,clear sky
621,Gambela,ET,8.25,34.58,71.71,92,100,4.07,light rain
622,Bialystok,PL,53.13,23.15,71.01,88,87,2.84,moderate rain
623,Mbandaka,CD,0.05,18.26,71.47,95,100,5.19,overcast clouds
624,Contamana,PE,-7.33,-75.02,79.86,50,12,3.96,few clouds
625,Warragul,AU,-38.17,145.93,45.0,95,99,5.99,light rain
626,Derzhavinsk,KZ,51.1,66.32,55.04,88,49,5.12,scattered clouds
627,Kaele,CM,10.11,14.45,74.71,91,100,2.04,moderate rain
628,Devils Lake,US,48.11,-98.87,82.4,51,1,9.17,clear sky
629,Mitu,CO,1.2,-70.17,76.69,87,88,2.08,light rain
630,Matamoros,MX,25.53,-103.25,96.8,19,40,9.17,scattered clouds
631,Roma,US,43.21,-75.46,84.2,51,75,11.41,broken clouds
632,Tucuman,AR,-26.82,-65.22,69.8,32,0,17.22,smoke
633,Rocha,UY,-34.48,-54.33,46.85,71,0,5.68,clear sky
634,Pisco,PE,-13.7,-76.22,64.4,72,40,6.93,scattered clouds
635,Theunissen,ZA,-28.41,26.7,40.8,69,0,2.04,clear sky
636,Rio Gallegos,AR,-51.62,-69.22,44.6,65,75,24.16,broken clouds
637,Rochefort,FR,45.92,-1.0,68.0,72,70,11.41,broken clouds
638,Voh,NC,-20.97,164.7,75.63,66,23,2.26,few clouds
639,Jinji,CN,23.23,110.83,77.04,90,16,2.46,few clouds
640,Aniva,RU,46.71,142.53,51.8,93,40,2.8,scattered clouds
641,Breves,BR,-1.68,-50.48,78.87,81,46,3.71,light rain
642,Boa Vista,BR,2.82,-60.67,89.6,49,75,12.75,shower rain
643,Havelock,US,34.88,-76.9,82.99,81,100,1.01,overcast clouds
644,Numan,NG,9.47,12.03,77.04,84,99,4.16,overcast clouds
645,Maumere,ID,-8.62,122.21,75.52,74,43,3.67,scattered clouds
646,Muisne,EC,0.6,-80.03,82.4,78,75,9.17,broken clouds
647,Mama,RU,58.31,112.9,56.55,75,100,3.4,overcast clouds
648,Gornopravdinsk,RU,60.05,69.9,48.76,94,14,5.14,few clouds
649,Solnechnyy,RU,50.72,136.63,61.52,89,100,2.71,overcast clouds
650,Port Macquarie,AU,-31.43,152.92,55.0,48,0,15.28,clear sky
651,Roblin,CA,51.23,-101.36,66.56,74,60,13.4,broken clouds
652,Pangnirtung,CA,66.15,-65.71,54.07,57,0,4.16,clear sky
653,Mormugao,IN,15.4,73.8,79.32,89,100,11.63,moderate rain
654,Cairns,AU,-16.92,145.77,57.99,87,5,7.31,clear sky
655,Cabedelo,BR,-6.98,-34.83,75.2,88,20,8.05,few clouds
656,Awbari,LY,26.59,12.78,81.61,16,0,8.59,clear sky
657,Bartica,GY,6.4,-58.62,86.0,66,20,6.93,few clouds
658,Khani,GE,41.96,42.96,66.2,93,100,3.36,light rain
659,Yambio,SS,4.57,28.4,68.45,95,44,0.63,scattered clouds
660,Maposeni,TZ,-10.58,35.4,60.8,82,40,5.82,scattered clouds
661,Sorong,ID,-0.88,131.25,77.13,86,35,9.89,scattered clouds
662,Los Llanos De Aridane,ES,28.66,-17.92,75.2,83,7,14.99,clear sky
663,Tomatlan,MX,19.93,-105.25,86.81,74,58,8.88,light rain
664,Puerto Madero,MX,14.72,-92.42,75.2,100,90,9.75,light rain
665,Qianan,CN,44.99,124.06,62.96,87,100,8.7,overcast clouds
666,Tazovskiy,RU,67.47,78.7,52.84,80,99,9.78,overcast clouds
667,Preobrazheniye,RU,42.9,133.91,65.53,70,8,4.72,clear sky
668,Lisala,CD,2.15,21.52,70.93,98,100,3.11,overcast clouds
669,Mastic Beach,US,40.77,-72.85,82.4,65,1,12.75,clear sky
670,Puri,IN,19.8,85.85,82.4,94,75,4.7,haze
671,Murray Bridge,AU,-35.12,139.27,46.0,91,27,4.0,light rain
672,Labuhan,ID,-6.88,112.21,75.69,86,4,7.58,clear sky
673,Luwingu,ZM,-10.26,29.93,57.61,76,33,6.53,scattered clouds
674,Urucui,BR,-7.23,-44.56,87.26,33,61,2.44,broken clouds
675,Okakarara,NA,-20.58,17.43,53.38,42,0,5.53,clear sky
676,Kupang,ID,-10.17,123.58,73.4,60,20,5.82,few clouds
677,Qasigiannguit,GL,68.82,-51.19,46.4,61,0,2.24,clear sky
678,Synya,RU,65.37,58.04,45.36,96,38,3.78,scattered clouds
679,Nabire,ID,-3.37,135.48,73.94,89,65,3.91,moderate rain
680,Sebinkarahisar,TR,40.29,38.42,54.03,78,91,4.12,overcast clouds
681,Vidim,RU,56.41,103.11,58.1,65,95,0.76,overcast clouds
682,Temir,KZ,49.14,57.13,61.39,62,100,8.75,overcast clouds
683,Port Hardy,CA,50.7,-127.42,55.4,93,90,5.82,light rain
684,Fuling,CN,29.7,107.39,75.78,82,0,3.53,clear sky
685,Frankfort,ZA,-27.27,28.48,45.9,54,0,2.19,clear sky
686,Xuanzhou,CN,30.95,118.76,77.09,90,4,1.14,clear sky
687,Mercedes,AR,-34.65,-59.43,57.99,38,0,5.01,clear sky
688,North Battleford,CA,52.78,-108.28,72.0,64,75,18.34,broken clouds
689,Whitianga,NZ,-36.83,175.7,60.44,81,7,6.46,light rain
690,Dunedin,NZ,-45.87,170.5,48.0,94,64,1.99,broken clouds
691,Lixourion,GR,38.2,20.43,77.18,63,0,5.46,clear sky
692,Shar,KZ,49.59,81.05,65.79,37,100,5.61,overcast clouds
693,Arvika,SE,59.66,12.59,62.01,93,70,14.99,broken clouds
694,Banjar,ID,-8.19,114.97,78.8,94,20,8.05,few clouds
695,Myanaung,MM,18.28,95.32,75.51,93,100,4.5,overcast clouds
696,Atar,MR,20.52,-13.05,101.17,18,72,2.95,broken clouds
697,Mutsu,JP,41.29,141.22,73.0,93,40,3.36,scattered clouds
698,Simao,CN,22.79,100.97,63.75,95,100,1.52,light rain
699,Ulladulla,AU,-35.35,150.47,48.99,49,11,19.46,few clouds
700,Ixtapa,MX,20.7,-105.2,90.0,74,20,11.41,few clouds
701,Camargo,MX,27.67,-105.17,97.0,18,30,12.97,scattered clouds
702,Amurzet,RU,47.7,131.1,61.16,78,99,2.84,overcast clouds
703,Coulommiers,FR,48.81,3.08,68.0,71,100,7.02,overcast clouds
704,Devon,GB,50.75,-3.75,60.01,90,10,1.99,clear sky
705,Lahij,YE,13.17,44.58,86.04,52,64,1.88,light rain
706,Sept-Iles,CA,50.2,-66.38,62.6,59,75,8.05,broken clouds
707,Farafangana,MG,-22.82,47.83,65.12,89,28,3.11,scattered clouds
708,Wawa,NG,9.9,4.42,74.03,92,68,2.95,broken clouds
709,Poum,NC,-20.23,164.02,72.21,77,14,10.54,few clouds
710,Rancho Veloz,CU,22.88,-80.39,91.4,63,75,13.87,broken clouds
711,Okhotsk,RU,59.38,143.3,54.81,49,90,9.28,overcast clouds
712,Silver City,US,32.77,-108.28,91.4,18,1,6.93,clear sky
713,Stonewall,CA,50.13,-97.33,77.0,61,20,18.34,few clouds
714,Ambon,ID,-3.7,128.18,75.2,94,40,4.7,light rain
715,Reggio Di Calabria,IT,38.11,15.66,80.6,83,0,14.99,clear sky
716,Antsohihy,MG,-14.88,47.99,67.26,63,62,7.81,broken clouds
717,Doctor Arroyo,MX,23.67,-100.18,81.7,31,34,8.3,scattered clouds
718,Beidao,CN,34.57,105.89,68.43,84,100,2.26,overcast clouds
719,Urusha,RU,54.05,122.9,51.71,77,60,4.76,broken clouds
720,Kastornoye,RU,51.83,38.13,60.73,66,33,4.76,scattered clouds
721,Lazaro Cardenas,MX,17.96,-102.2,84.81,71,0,6.62,clear sky
722,Pemangkat,ID,1.17,108.97,77.92,86,100,7.09,moderate rain
723,Dolinsk,RU,47.35,142.8,51.8,93,40,8.66,scattered clouds
724,Humberto De Campos,BR,-2.6,-43.46,76.48,89,7,5.14,clear sky
725,Kansas City,US,39.1,-94.58,91.4,33,1,8.05,clear sky
726,Guangyuan,CN,32.44,105.82,75.0,99,100,5.99,light rain
